Front|Back|Deck
Why is duplication (like copying statement to HTML) discouraged in long-lived code?|It increases maintenance burden and risk of inconsistent updates.|Code Smells and Structural Motivation
What motivates Extract Function refactoring when working with nested logic?|To name and isolate logic chunks for readability and testability.|Code Smells and Structural Motivation
What is the key sign you need to refactor before adding a feature?|If the code is hard to modify due to poor structure.|Code Smells and Structural Motivation
What are the risks of modifying poorly structured code?|Increased chance of bugs and difficulty understanding change impact.|Code Smells and Structural Motivation
Why use `Object.assign({}, aPerformance)` in the refactoring?|To create a copy of a performance object without mutating original input.|Extract Function and Decomposition
What does `usd()` function do in the final code?|Formats a number into a USD currency string.|Extract Function and Decomposition
What is the purpose of the `playFor()` function in the refactored example?|Looks up the play details for a given performance.|Extract Function and Decomposition
What JavaScript refactoring extracts logic from a long function into smaller named pieces?|Extract Function.|Extract Function and Decomposition
What does Replace Temp with Query achieve?|Removes temporary variables to enable further refactoring and improve clarity.|Extract Function and Decomposition
What is the role of `amountFor()` in the refactoring example?|Calculates the charge for a single performance.|Extract Function and Decomposition
Why was the variable `format` refactored into a function?|To remove temporary variables and improve modularity and reuse.|Extract Function and Decomposition
What is a “shadow variable” in the context of refactoring?|A duplicate variable in a new scope for return or accumulation.|Extract Function and Decomposition
Why rename `thisAmount` to `result` inside `amountFor()`?|To clarify its purpose and align with coding conventions.|Extract Function and Decomposition
How are total volume credits calculated in the final refactor?|Using a `reduce` operation over the performance list.|Extract Function and Decomposition
What refactoring is used to turn a temp variable into a function call?|Replace Temp with Query.|Extract Function and Decomposition
Why might you repeat a loop in refactored code?|To simplify structure without significantly hurting performance.|Extract Function and Decomposition
What refactoring allows centralized money formatting logic?|Extracting and renaming to the `usd()` function.|Extract Function and Decomposition
Why do we extract functions during early stages of refactoring?|To gain clarity and communicate understanding through code.|Extract Function and Decomposition
What approach does the final design follow for maintainability?|Separation of data, calculation, and presentation.|Split Phase and Intermediate Representation
What is the purpose of the intermediate data structure in Split Phase?|To separate calculation logic from rendering logic.|Split Phase and Intermediate Representation
